,adjclose,close,date,high,low,open,volume
0,76.54454040527344,77.72000122070312,1486477800,78.37999725341797,77.5199966430664,78.05999755859375,2060200
1,76.62332916259766,77.80000305175781,1486564200,77.94000244140625,77.08000183105469,77.54000091552734,2223100
2,76.9975814819336,78.18000030517578,1486650600,78.37000274658203,77.66999816894531,77.80000305175781,3031800
3,77.29304504394531,78.4800033569336,1486737000,78.69000244140625,78.2300033569336,78.5,2191200
4,77.71654510498047,78.91000366210938,1486996200,79.18000030517578,78.4800033569336,78.81999969482422,3317100
5,78.20897674560547,79.41000366210938,1487082600,79.44999694824219,78.66999816894531,79.0,3500800
6,78.3960952758789,79.5999984741211,1487169000,80.0999984741211,78.66999816894531,79.79000091552734,5704100
7,78.30745697021484,79.51000213623047,1487255400,79.5999984741211,78.91999816894531,79.45999908447266,4295000
8,78.50443267822266,79.70999908447266,1487341800,79.77999877929688,78.9000015258789,79.22000122070312,2690300
9,78.76050567626953,79.97000122070312,1487687400,80.44999694824219,79.63999938964844,79.91999816894531,3505500
10,78.65216827392578,79.86000061035156,1487773800,79.97000122070312,79.38999938964844,79.83000183105469,2943000
11,78.83929443359375,80.05000305175781,1487860200,80.44999694824219,79.7699966430664,79.87000274658203,3339500
12,78.5536880493164,79.76000213623047,1487946600,79.88999938964844,79.26000213623047,79.76000213623047,3932300
13,78.95747375488281,80.16999816894531,1488205800,80.30999755859375,79.58999633789062,79.75,2619400
14,78.84913635253906,80.05999755859375,1488292200,80.48999786376953,79.7699966430664,80.12000274658203,4415300
15,80.6810073852539,81.91999816894531,1488378600,82.0,81.0199966430664,81.05000305175781,4746400
16,78.88854217529297,80.0999984741211,1488465000,81.66000366210938,80.05999755859375,81.66000366210938,4409800
17,78.67186737060547,79.87999725341797,1488551400,80.66000366210938,79.81999969482422,80.0999984741211,4579600
18,78.297607421875,79.5,1488810600,79.68000030517578,79.08999633789062,79.5,3670300
19,78.37640380859375,79.58000183105469,1488897000,80.0199966430664,79.33000183105469,79.7699966430664,4433500
20,77.84456634521484,79.04000091552734,1488983400,80.37000274658203,78.97000122070312,80.0,4326800
21,78.10063934326172,79.30000305175781,1489069800,79.69999694824219,78.80999755859375,79.19000244140625,4573500
22,78.17942810058594,79.37999725341797,1489156200,79.45999908447266,78.87999725341797,79.37999725341797,3762800
23,78.01200103759766,79.20999908447266,1489411800,79.54000091552734,79.05999755859375,79.37999725341797,3664300
24,78.4847412109375,79.69000244140625,1489498200,79.80000305175781,78.83000183105469,78.95999908447266,3321400
